Company Name,Symbol,Industry,PE Ratio,EPS,ROE (%),Debt/Equity,Market Cap (Cr),Dividend Yield (%)
360 ONE WAM Ltd.,360ONE,Financial Services,13.24,76.8,20.98,7.19,78431.31,0.95
3M India Ltd.,3MINDIA,Diversified,11.16,53.31,15.21,2.42,10781.95,4.86
ABB India Ltd.,ABB,Capital Goods,22.49,18.49,9.82,0.87,152469.0,2.72
ACC Ltd.,ACC,Construction Materials,13.18,18.74,14.12,0.71,146426.25,1.96
AIA Engineering Ltd.,AIAENG,Capital Goods,16.84,41.41,10.0,1.53,296411.08,0.42
APL Apollo Tubes Ltd.,APLAPOLLO,Capital Goods,19.11,16.82,8.65,2.4,482833.2,4.08
AU Small Finance Bank Ltd.,AUBANK,Financial Services,12.26,21.35,20.26,6.08,61458.1,2.58
Aadhar Housing Finance Ltd.,AADHARHFC,Financial Services,8.48,74.11,13.88,7.64,156199.68,2.7
Aarti Industries Ltd.,AARTIIND,Chemicals,20.75,17.39,21.64,1.21,469779.72,4.5
Aavas Financiers Ltd.,AAVAS,Financial Services,16.37,74.92,11.33,4.37,23091.03,1.76
Abbott India Ltd.,ABBOTINDIA,Healthcare,19.0,20.85,16.29,1.04,140826.79,2.8
Action Construction Equipment Ltd.,ACE,Capital Goods,12.11,42.09,8.75,2.47,386236.26,1.15
Adani Energy Solutions Ltd.,ADANIENSOL,Power,5.06,33.54,12.36,3.19,385749.54,0.56
Adani Enterprises Ltd.,ADANIENT,Metals & Mining,10.3,8.48,13.63,2.56,165783.56,0.51
Adani Green Energy Ltd.,ADANIGREEN,Power,8.11,16.38,12.57,2.91,443662.76,2.47
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Services,11.79,38.53,17.13,1.62,385598.11,2.57
Adani Power Ltd.,ADANIPOWER,Power,10.23,19.96,6.23,1.32,16198.88,3.25
Adani Total Gas Ltd.,ATGL,Oil Gas & Consumable Fuels,8.83,30.34,17.08,1.62,205486.27,3.83
Adani Wilmar Ltd.,AWL,Fast Moving Consumer Goods,30.72,16.92,25.8,0.41,464883.98,4.08
Aditya Birla Capital Ltd.,ABCAPITAL,Financial Services,16.87,71.64,22.06,4.31,446333.22,2.79
Aditya Birla Fashion and Retail Ltd.,ABFRL,Consumer Services,26.15,54.8,12.45,0.72,114353.61,2.25
Aditya Birla Real Estate Ltd.,ABREL,Forest Materials,22.27,35.13,8.07,1.52,208996.8,1.27
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Financial Services,9.68,36.94,24.14,5.26,259635.92,3.57
Aegis Logistics Ltd.,AEGISLOG,Oil Gas & Consumable Fuels,9.27,48.87,17.62,1.63,248875.63,1.64
Affle (India) Ltd.,AFFLE,Information Technology,20.7,31.84,19.92,0.3,26213.64,1.54
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,Healthcare,28.35,19.58,9.45,1.23,492832.4,1.36
Akums Drugs and Pharmaceuticals Ltd.,AKUMS,Healthcare,24.1,40.46,10.38,1.59,184207.67,3.24
Alembic Pharmaceuticals Ltd.,APLLTD,Healthcare,23.4,31.43,8.9,1.75,160729.64,1.1
Alkem Laboratories Ltd.,ALKEM,Healthcare,12.73,33.64,14.78,0.52,256290.48,1.29
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,Chemicals,22.32,16.97,18.29,0.7,468396.63,0.86
Alok Industries Ltd.,ALOKINDS,Textiles,12.09,8.4,14.25,2.69,129341.84,3.37
Amara Raja Energy & Mobility Ltd.,ARE&M,Automobile and Auto Components,17.81,32.21,17.94,0.98,47004.83,4.51
Amber Enterprises India Ltd.,AMBER,Consumer Durables,28.01,35.32,14.07,1.02,363114.86,4.51
Ambuja Cements Ltd.,AMBUJACEM,Construction Materials,18.65,33.4,14.42,0.63,81233.54,4.51
Anand Rathi Wealth Ltd.,ANANDRATHI,Financial Services,16.49,15.6,11.52,7.64,3028.26,0.97
Anant Raj Ltd.,ANANTRAJ,Realty,14.58,22.3,9.56,2.67,356233.52,1.34
Angel One Ltd.,ANGELONE,Financial Services,12.56,63.52,19.74,8.94,328977.64,2.93
Apar Industries Ltd.,APARINDS,Capital Goods,11.41,24.71,10.65,0.99,486518.77,2.09
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Healthcare,28.06,35.25,15.95,1.25,288663.49,2.56
Apollo Tyres Ltd.,APOLLOTYRE,Automobile and Auto Components,10.34,38.9,14.21,0.55,322913.41,1.05
Aptus Value Housing Finance India Ltd.,APTUS,Financial Services,21.17,77.01,23.72,5.59,8220.58,4.66
Archean Chemical Industries Ltd.,ACI,Chemicals,18.85,48.67,21.56,1.31,147577.22,2.05
Asahi India Glass Ltd.,ASAHIINDIA,Automobile and Auto Components,18.21,22.68,12.54,1.61,468109.31,3.54
Ashok Leyland Ltd.,ASHOKLEY,Capital Goods,18.55,13.89,14.15,2.48,70471.97,2.69
Asian Paints Ltd.,ASIANPAINT,Consumer Durables,27.55,39.63,18.36,1.55,180065.83,1.61
Aster DM Healthcare Ltd.,ASTERDM,Healthcare,26.57,42.4,16.67,1.87,255915.53,2.61
AstraZenca Pharma India Ltd.,ASTRAZEN,Healthcare,26.37,36.0,15.02,1.69,445057.67,1.82
Astral Ltd.,ASTRAL,Capital Goods,15.63,13.76,13.78,0.57,233066.21,2.8
Atul Ltd.,ATUL,Chemicals,16.58,33.63,10.37,0.25,411388.98,1.93
Aurobindo Pharma Ltd.,AUROPHARMA,Healthcare,14.29,30.89,15.7,0.82,311633.79,0.61
Avanti Feeds Ltd.,AVANTIFEED,Fast Moving Consumer Goods,26.29,28.28,30.81,1.03,363182.62,4.88
Avenue Supermarts Ltd.,DMART,Consumer Services,20.33,26.15,19.13,1.04,219766.22,0.58
Axis Bank Ltd.,AXISBANK,Financial Services,8.35,77.57,22.54,7.87,204772.0,1.03
BASF India Ltd.,BASF,Chemicals,14.5,20.01,16.59,1.13,330268.59,1.54
BEML Ltd.,BEML,Capital Goods,24.32,39.52,13.54,1.72,210090.23,1.39
BLS International Services Ltd.,BLS,Consumer Services,17.12,47.89,8.2,0.73,23478.32,0.4
BSE Ltd.,BSE,Financial Services,19.98,60.74,17.11,3.68,246062.13,2.47
Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile and Auto Components,10.08,27.35,15.98,1.73,317729.28,0.42
Bajaj Finance Ltd.,BAJFINANCE,Financial Services,13.24,55.68,17.55,9.0,329517.47,0.98
Bajaj Finserv Ltd.,BAJAJFINSV,Financial Services,8.99,56.76,10.4,7.1,470145.01,2.96
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Financial Services,13.43,56.81,16.87,6.82,470761.67,2.05
Balaji Amines Ltd.,BALAMINES,Chemicals,27.38,46.21,12.35,0.29,50838.61,0.29
Balkrishna Industries Ltd.,BALKRISIND,Automobile and Auto Components,9.13,37.32,11.07,1.14,422515.22,0.31
Balrampur Chini Mills Ltd.,BALRAMCHIN,Fast Moving Consumer Goods,45.36,22.05,22.36,1.11,314656.95,4.41
Bandhan Bank Ltd.,BANDHANBNK,Financial Services,18.29,67.23,14.23,4.24,375432.07,4.07
Bank of Baroda,BANKBARODA,Financial Services,21.87,41.82,15.58,8.43,170731.37,4.67
Bank of India,BANKINDIA,Financial Services,20.02,42.88,21.26,8.28,52010.37,4.53
Bank of Maharashtra,MAHABANK,Financial Services,15.07,68.72,14.8,9.27,194906.24,0.25
Bata India Ltd.,BATAINDIA,Consumer Durables,28.11,13.65,13.83,1.93,475328.27,2.95
Bayer Cropscience Ltd.,BAYERCROP,Chemicals,22.11,27.94,13.52,0.63,336422.97,3.81
Berger Paints India Ltd.,BERGEPAINT,Consumer Durables,25.83,41.58,11.09,1.24,29250.6,2.84
Bharat Dynamics Ltd.,BDL,Capital Goods,16.62,45.51,11.51,0.73,71924.35,3.86
Bharat Electronics Ltd.,BEL,Capital Goods,19.27,14.04,8.84,1.9,36845.12,4.14
Bharat Forge Ltd.,BHARATFORG,Automobile and Auto Components,16.47,13.25,11.27,2.47,187448.26,1.98
Bharat Heavy Electricals Ltd.,BHEL,Capital Goods,22.19,47.89,17.86,2.01,188441.66,0.6
Bharat Petroleum Corporation Ltd.,BPCL,Oil Gas & Consumable Fuels,12.99,32.34,12.24,3.27,56043.14,2.56
Bharti Airtel Ltd.,BHARTIARTL,Telecommunication,10.17,14.37,5.56,2.48,59204.36,3.32
Bharti Hexacom Ltd.,BHARTIHEXA,Telecommunication,21.19,16.67,14.62,3.5,143213.19,4.37
Bikaji Foods International Ltd.,BIKAJI,Fast Moving Consumer Goods,30.59,39.08,20.24,1.46,22058.38,4.48
Biocon Ltd.,BIOCON,Healthcare,21.5,49.72,8.74,1.33,484666.62,2.71
Birla Corporation Ltd.,BIRLACORPN,Construction Materials,15.55,30.87,12.55,1.44,292365.0,4.53
Birlasoft Ltd.,BSOFT,Information Technology,15.91,44.05,24.36,0.46,228100.55,3.18
Blue Dart Express Ltd.,BLUEDART,Services,14.16,17.52,13.56,1.21,292036.23,0.57
Blue Star Ltd.,BLUESTARCO,Consumer Durables,29.49,49.45,18.38,1.3,155109.04,4.11
Bombay Burmah Trading Corporation Ltd.,BBTC,Fast Moving Consumer Goods,42.12,19.07,38.22,1.27,474925.06,3.68
Bosch Ltd.,BOSCHLTD,Automobile and Auto Components,15.36,26.73,23.99,2.23,23086.73,0.33
Brigade Enterprises Ltd.,BRIGADE,Realty,12.52,25.26,11.91,2.45,297268.29,2.03
Britannia Industries Ltd.,BRITANNIA,Fast Moving Consumer Goods,49.25,36.05,36.77,0.81,207702.34,1.51
C.E. Info Systems Ltd.,MAPMYINDIA,Information Technology,16.13,73.24,22.57,0.5,498320.1,2.87
CCL Products (I) Ltd.,CCL,Fast Moving Consumer Goods,44.22,38.62,36.99,0.52,225546.8,0.82
CESC Ltd.,CESC,Power,14.54,26.22,8.06,3.02,309255.06,1.92
CG Power and Industrial Solutions Ltd.,CGPOWER,Capital Goods,11.7,36.86,13.2,2.04,260321.67,4.29
CIE Automotive India Ltd.,CIEINDIA,Automobile and Auto Components,14.62,32.44,23.15,1.31,67440.61,0.34
CRISIL Ltd.,CRISIL,Financial Services,18.57,55.32,20.56,4.49,68617.55,0.27
Campus Activewear Ltd.,CAMPUS,Consumer Durables,17.01,33.6,14.71,1.16,452127.27,1.87
Can Fin Homes Ltd.,CANFINHOME,Financial Services,15.2,65.94,15.95,7.35,431250.67,4.76
Canara Bank,CANBK,Financial Services,10.06,75.23,17.38,4.81,229838.31,4.9
Caplin Point Laboratories Ltd.,CAPLIPOINT,Healthcare,20.87,23.15,14.33,0.86,38393.73,0.82
Capri Global Capital Ltd.,CGCL,Financial Services,9.79,24.87,12.08,7.49,91349.1,1.86
Carborundum Universal Ltd.,CARBORUNIV,Capital Goods,23.45,28.96,14.68,0.84,96548.36,0.4
Castrol India Ltd.,CASTROLIND,Oil Gas & Consumable Fuels,7.52,21.14,9.77,1.22,60757.62,2.41
Ceat Ltd.,CEATLTD,Automobile and Auto Components,10.48,24.57,17.55,1.88,20136.41,4.04
Cello World Ltd.,CELLO,Consumer Durables,22.56,13.27,20.48,1.88,31008.44,1.53
Central Bank of India,CENTRALBK,Financial Services,19.29,63.64,12.77,4.47,185550.82,2.53
Central Depository Services (India) Ltd.,CDSL,Financial Services,16.66,38.98,16.94,8.23,18823.26,1.41
